CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
,3/28/2019,19.10748275,19.3363111,4.60669746,6.716176907
,3/29/2019,19.54079819,19.64714591,5.223067065,8.239243468
,3/30/2019,20.38430421,20.18167114,5.968201518,8.624706348
,3/31/2019,20.40773408,20.31160537,6.707484325,8.036346436
,4/1/2019,18.3982389,19.92231401,7.03242602,12.06591968
,4/2/2019,18.14040629,20.06086405,7.429631432,12.16048896
,4/3/2019,18.37032596,20.28524987,8.596837282,11.24975391
,4/4/2019,19.15184665,20.20449026,10.27318656,14.24290824
,4/5/2019,20.34040356,20.26088627,10.89697218,14.47592755
,4/6/2019,21.0049448,20.21486696,11.49855057,14.45620004
,4/7/2019,21.60384035,20.45038295,11.91373316,15.24676021
,4/8/2019,21.88557704,21.00471743,12.49059284,17.44022338
,4/9/2019,21.84301654,21.84607172,13.33420626,13.33389914
,4/10/2019,22.98566826,22.3081785,10.99429238,15.72437008
,4/11/2019,23.14353585,22.83519212,11.09046475,18.43272416
,4/12/2019,23.40625294,23.83137218,11.91125898,16.59906626
,4/13/2019,23.29871408,24.33868933,11.27955627,16.90871394
,4/14/2019,23.18198888,23.35252833,11.73349094,12.21517829
,4/15/2019,21.27522937,21.35132607,11.34318181,11.46511074
,4/16/2019,20.76460512,21.53553979,9.343978286,12.43273302
,4/17/2019,21.56774783,22.30447046,8.701293766,12.40954773
,4/18/2019,22.37349486,22.73994136,9.944882552,11.16655815
,4/19/2019,22.35389058,22.38088401,10.28593671,10.30741421
,4/20/2019,20.08803582,20.13385987,7.864396095,7.8907667
,4/21/2019,19.40570521,19.90562534,2.713758344,11.64904066
,4/22/2019,20.24482171,20.06819495,0.870589318,13.26766237
,4/23/2019,21.88906177,20.84249886,1.388276873,13.70732943
,4/24/2019,22.49254123,21.95427593,2.203730121,13.60946202
,4/25/2019,22.40163255,23.14669998,3.654772153,9.474902232
,4/26/2019,22.65876293,22.52893504,4.093569964,4.885997136
,4/27/2019,22.69549084,23.34769781,2.422147204,7.692232132
,4/28/2019,23.26290679,24.25359201,0.824045211,8.055712481
,4/29/2019,23.90775824,24.97651927,1.383131112,8.263706644
,4/30/2019,24.47461669,25.58208688,2.320536047,7.690110326
,5/1/2019,24.70335054,26.29965425,1.941909969,6.709063371
,5/2/2019,25.28934844,24.95480704,2.373345286,6.378973107
,5/3/2019,25.87602711,24.63310019,2.802418659,12.42264529
,5/4/2019,25.64030409,25.46374393,3.187870741,13.65227473
,5/5/2019,25.80571294,25.75908264,4.367007524,5.956426501
,5/6/2019,26.14787157,26.36837252,4.26572001,10.92848949
,5/7/2019,26.58351954,26.94211292,4.718367179,12.66681945
,5/8/2019,26.62686586,27.43233927,5.851458927,13.30209033
,5/9/2019,26.44835178,27.36117617,6.89526399,12.72281039
,5/10/2019,26.47861266,27.19990182,6.848674397,13.27866399
